1000,Cairo,Africa,9540000,3085
1000,Aswan,Africa,1568000,5250
1000,Alexandria,Africa,5200000,2679
1000,mansoura,Africa,960423,371
2000,Makkah,Asia,1579000,1200
2000,Jedah,Asia,3976000,1600
2000,Riyadh,Asia,7667000,1973
3000,Rabat,Africa,580000,117
3000,Casablanca,Africa,3400000,220
3000,Fez,Africa,1200000,410
